waveform	Bdot	Idot	Proj1	Proj2	PDO	Field	BProj1	BProj2	Field_fixed
t0	2/6/40  18:59:59.990000	2/6/40  18:59:59.990000	2/6/40  18:59:59.990000	2/6/40  18:59:59.990000	2/6/40  18:59:59.990000	2/6/40  18:59:59.990000	2/6/40  18:59:59.990000	2/6/40  18:59:59.990000	2/6/40  18:59:59.990000
delta t	1.000000E-6	1.000000E-6	1.000000E-6	1.000000E-6	5.000000E-8	1.000000E-6	1.000000E-6	1.000000E-6	1.000000E-6

time	Bdot	Idot	Proj1	Proj2	PDO	Field	BProj1	BProj2	Field_fixed
2/6/40  18:59:59.990000	-1.129150E-2	-9.155273E-4	1.525879E-3	6.103516E-4	2.359764E-1	-8.881962E-7	4.351877E-7	-1.909710E-5	-8.881962E-7
2/6/40  18:59:59.990001	-1.190186E-2	-9.155273E-4	9.155273E-4	1.525879E-3	2.686077E-1	-7.399483E-7	-6.260810E-8	-2.717987E-5	-2.141947E-6
2/6/40  18:59:59.990002	-1.312256E-2	-1.220703E-3	9.155273E-4	3.051758E-4	2.960868E-1	3.583733E-7	-6.770268E-7	-5.178413E-5	-2.445623E-6
2/6/40  18:59:59.990003	-1.098633E-2	-9.155273E-4	1.220703E-3	6.103516E-4	3.166960E-1	-1.843416E-7	-1.641314E-6	-7.225802E-5	-4.390336E-6
2/6/40  18:59:59.990004	-1.251221E-2	-3.051758E-4	-9.155273E-4	1.525879E-3	3.166960E-1	7.412394E-7	-5.521175E-6	-7.208005E-5	-4.866753E-6
2/6/40  18:59:59.990005	-1.373291E-2	-3.662109E-3	-3.051758E-4	2.136230E-3	2.806298E-1	3.048746E-6	-8.584675E-6	-5.813418E-5	-3.961245E-6
2/6/40  18:59:59.990006	-1.220703E-2	-3.051758E-4	1.525879E-3	1.831055E-3	2.102148E-1	3.542475E-6	-8.266110E-6	-4.831868E-5	-4.869514E-6
2/6/40  18:59:59.990007	-1.068115E-2	-9.155273E-4	2.441406E-3	1.525879E-3	1.432347E-1	1.963316E-6	-6.548070E-6	-4.263355E-5	-7.850671E-6
2/6/40  18:59:59.990008	-1.098633E-2	-9.155273E-4	6.103516E-4	2.136230E-3	7.453712E-2	7.296385E-7	-7.045866E-6	-3.557163E-5	-1.048635E-5
2/6/40  18:59:59.990009	-1.251221E-2	-6.103516E-4	1.220703E-3	3.051758E-4	-2.747645E-3	1.396108E-6	-7.310416E-6	-4.916156E-5	-1.122188E-5
2/6/40  18:59:59.990010	-1.281738E-2	-9.155273E-4	1.220703E-3	2.441406E-3	-7.144521E-2	2.667171E-6	-7.574966E-6	-3.796927E-5	-1.135281E-5
2/6/40  18:59:59.990011	-1.220703E-2	-2.746582E-3	6.103516E-4	1.220703E-3	-1.246858E-1	3.247270E-6	-8.655876E-6	-3.779130E-5	-1.217471E-5
2/6/40  18:59:59.990012	-1.190186E-2	-6.103516E-4	9.155273E-4	1.525879E-3	-1.624695E-1	3.309148E-6	-9.153672E-6	-3.485975E-5	-1.351483E-5
2/6/40  18:59:59.990013	-1.190186E-2	-9.155273E-4	1.831055E-3	2.136230E-3	-1.882311E-1	3.802877E-6	-8.835107E-6	-2.229067E-5	-1.442310E-5
2/6/40  18:59:59.990014	-1.373291E-2	-1.220703E-3	0.000000E+0	1.525879E-3	-2.105578E-1	5.851272E-6	-1.073238E-5	-1.935912E-5	-1.377670E-5
2/6/40  18:59:59.990015	-1.190186E-2	-1.220703E-3	6.103516E-4	1.220703E-3	-2.328845E-1	6.517742E-6	-1.239640E-5	-1.505078E-5	-1.451223E-5
2/6/40  18:59:59.990016	-1.251221E-2	-9.155273E-4	6.103516E-4	3.356934E-3	-2.603635E-1	7.184212E-6	-1.359394E-5	2.367732E-5	-1.524776E-5
2/6/40  18:59:59.990017	-1.190186E-2	-6.103516E-4	1.220703E-3	2.746582E-3	-2.912774E-1	7.332460E-6	-1.420836E-5	5.139109E-5	-1.650151E-5
